author_id,name,country,community,citation_count
https://openalex.org/A5106173081,Jihye Song,US,22,0
https://openalex.org/A5014325236,Jina Huh,US,5,0
https://openalex.org/A5064224835,Roch Bourbonnais,DE,1,0
https://openalex.org/A5052876977,Mogens H. Jensen,DK,8,0
https://openalex.org/A5101532924,Yicheng Zhang,US,1,0
https://openalex.org/A5012976652,Péter Pollner,HU,1,0
https://openalex.org/A5086931422,Eleanor Neff Powell,US,2,0
https://openalex.org/A5027504546,Ian Yohai,US,2,0
https://openalex.org/A5037488679,Sears Merritt,US,0,0
https://openalex.org/A5005721051,Dengping Wei,CN,34,0
https://openalex.org/A5100428031,Ting Wang,CN,34,0
https://openalex.org/A5100386464,Ji Wang,US,34,0
https://openalex.org/A5028488990,Stephen Vaisey,US,15,0
https://openalex.org/A5071042104,Raúl Toral,ES,1,0
https://openalex.org/A5086011172,Agnieszka Czaplicka,DE,1,0
https://openalex.org/A5060753814,M. San Miguel,ES,1,0
https://openalex.org/A5071818172,John W. Mohr,US,23,0
https://openalex.org/A5022449356,Petra E. Vértes,GB,1,0
https://openalex.org/A5087175282,Emma K. Towlson,CA,1,0
https://openalex.org/A5076621655,Gang Yan,CN,1,0
https://openalex.org/A5045405753,Yee Lian Chew,AU,1,0
https://openalex.org/A5015479064,Denise S. Walker,GB,1,0
https://openalex.org/A5010996132,H. Friedrich,DE,25,0
https://openalex.org/A5113886631,Abigail L. Horn,US,25,0
https://openalex.org/A5015439547,Martin Sterchi,CH,34,0
https://openalex.org/A5063762907,Céline Faverjon,FR,34,0
https://openalex.org/A5079449271,John Berezowski,US,34,0
https://openalex.org/A5014487792,Rolf Grütter,CH,34,0
https://openalex.org/A5021623495,Heiko Nathues,CH,34,0
https://openalex.org/A5076259865,Ryen W. White,US,5,0
https://openalex.org/A5100781430,Xindi Wang,CN,1,0
https://openalex.org/A5031461158,Onur Varol,TR,1,0
https://openalex.org/A5080731595,Tina Eliassi‐Rad,US,8,0
https://openalex.org/A5000202774,I. Kovács,US,6,0
https://openalex.org/A5049602010,Dániel L. Barabási,US,6,0
https://openalex.org/A5017591085,Maartje ter Hoeve,NL,5,0
https://openalex.org/A5090308773,Robert B. Sim,GB,5,0
https://openalex.org/A5037183302,Elnaz Nouri,US,11,0
https://openalex.org/A5031439294,Maarten de Rijke,NL,5,0
https://openalex.org/A5005700214,Alex C. Williams,DE,5,0
https://openalex.org/A5045230890,Julia Cambre,US,5,0
https://openalex.org/A5033247821,Janice Tsai,US,26,0
https://openalex.org/A5078443228,Chinmay Kulkarni,US,5,0
https://openalex.org/A5041906419,Jofish Kaye,US,5,0
https://openalex.org/A5060310064,Leah R. Rosenzweig,US,2,0
https://openalex.org/A5062432559,Bence Bagó,NL,2,0
https://openalex.org/A5009786305,Arianna Menardi,IT,1,0
https://openalex.org/A5014112495,Davide Momi,CA,1,0
https://openalex.org/A5051568032,Antonino Vallesi,IT,1,0
https://openalex.org/A5007618142,Emiliano Santarnecchi,US,1,0
https://openalex.org/A5041992609,Hong Joo Lee,KR,34,0
https://openalex.org/A5062163326,Markus Stocker,DE,34,0
https://openalex.org/A5110118358,Frederik W. Wiegel,NL,0,0
https://openalex.org/A5082649012,Kenji Kosaka,US,9,0
https://openalex.org/A5114065959,Kinziro Kubota,JP,9,0
https://openalex.org/A5087024689,Ryuichi Nakamura,JP,9,0
https://openalex.org/A5029484704,Hirotaro Narabayashi,JP,9,0
https://openalex.org/A5017507131,Lorenz Fischer,CH,34,0
https://openalex.org/A5102756489,Ahmad Alabdulkareem,SA,8,0
https://openalex.org/A5013559230,Mariam Nouh,SA,8,0
https://openalex.org/A5115598991,Mansour Alsaleh,US,8,0
https://openalex.org/A5011229206,Vivek K. Singh,US,8,0
https://openalex.org/A5109833231,Abdulrahman Alarifi,SA,8,0
https://openalex.org/A5073189960,Anas Alfaris,SA,8,0
https://openalex.org/A5019007566,Shaun Kellogg,US,15,0
https://openalex.org/A5049908505,Ben Lafreniere,US,5,0
https://openalex.org/A5051092148,Parmit K. Chilana,CA,5,0
https://openalex.org/A5015483503,Michael Terry,US,5,0
https://openalex.org/A5017700623,Rinaldo Kühne,NL,13,0
https://openalex.org/A5033471397,Susanne E. Baumgartner,NL,13,0
https://openalex.org/A5037694810,Jochen Peter,NL,13,0
https://openalex.org/A5091452530,Francisco Prieto‐Castrillo,ES,8,0
https://openalex.org/A5103149967,Qisheng Li,CN,5,0
https://openalex.org/A5055890875,Kevin Larson,US,5,0
https://openalex.org/A5087031929,Dean Knox,US,12,0
https://openalex.org/A5057129019,Gregory R. Madey,US,5,0
https://openalex.org/A5007071871,Thomas Scharrenbach,US,34,0
https://openalex.org/A5013688285,Federico Musciotto,IT,1,0
https://openalex.org/A5088448789,Federico Battiston,AT,1,0
https://openalex.org/A5054586972,Michael Szell,DK,1,0
https://openalex.org/A5073565809,Yarrow Dunham,US,27,0
https://openalex.org/A5075507724,Jianping Li,SE,21,0
https://openalex.org/A5001257783,Su Lin Blodgett,,0,0
https://openalex.org/A5074825066,Solon Barocas,GB,0,0
https://openalex.org/A5019928111,Hal Daumé,US,0,0
https://openalex.org/A5015694492,Zoltán Kmetty,HU,28,0
https://openalex.org/A5074354806,Ádám Stefkovics,HU,28,0
https://openalex.org/A5101676626,Eun Lee,US,6,0
https://openalex.org/A5034927674,Floarea Serban,CH,34,0
https://openalex.org/A5075479948,Jörg-Uwe Kietz,CH,34,0
https://openalex.org/A5102991788,Simon Fischer,DE,34,0
https://openalex.org/A5090620447,Jacopo Urbani,NL,34,0
https://openalex.org/A5080699613,Alessandro Margara,IT,34,0
https://openalex.org/A5015694017,Emanuele Della Valle,IT,34,0
https://openalex.org/A5023644163,Jorge Gonçalves,AU,29,0
https://openalex.org/A5028140714,Michael D. Feldman,US,29,0
